layer_z,score_percent,primary_cause,machine_x_mm,machine_y_mm,raw_image_x_px,raw_image_y_px
tensor(234),95.4383373260498,조사(B),3.4696159257301,4.705765475298539,1257.8125,1263.671875
tensor(234),97.9618787765503,조사(B),-0.7932195580015766,5.688213645749617,1316.40625,1281.25
tensor(234),96.45283222198486,도포(A),1.2972151699445098,7.157422963998023,1287.109375,1304.6875
tensor(234),97.27325439453125,조사(B),2.5263588424503793,9.328990057577318,1269.53125,1339.84375
tensor(234),96.32106423377991,도포(A),-3.0088015834485384,9.22252611610428,1345.703125,1339.84375
tensor(234),95.32380104064941,도포(A),2.83405968340156,15.101117714475116,1263.671875,1433.59375
tensor(234),95.62116861343384,도포(A),0.6960871470140392,15.062623568368366,1292.96875,1433.59375
tensor(234),96.68357372283936,조사(B),-4.014318763596748,14.977812818810502,1357.421875,1433.59375
tensor(236),90.72881937026978,도포(A),0.45577298396476784,6.783597286533254,1298.828125,1298.828125
tensor(237),92.93391108512878,도포(A),8.648121031765244,-1.8972620931290516,1187.5,1152.34375
tensor(237),93.41468811035156,도포(A),4.302485746797831,5.434048988341532,1246.09375,1275.390625
tensor(237),96.67414426803589,조사(B),-0.368726762292018,5.6967018038304165,1310.546875,1281.25
tensor(237),93.24433207511902,조사(B),1.1079542475562763,15.79523366523113,1287.109375,1445.3125
tensor(238),90.846186876297,조사(B),4.925477705475912,-5.129796304636185,1240.234375,1099.609375
tensor(238),97.38429188728333,조사(B),4.05225091943501,-3.400104382315308,1251.953125,1128.90625
tensor(238),95.19826173782349,도포(A),5.240994753383864,0.4926637957212971,1234.375,1193.359375
tensor(238),97.89950251579285,조사(B),-0.37707904378115964,6.053174601262386,1310.546875,1287.109375
tensor(238),95.43682932853699,도포(A),5.5532169822808495,6.527721630822988,1228.515625,1292.96875
tensor(238),99.14690852165222,조사(B),0.8246225271668,9.29625865658212,1292.96875,1339.84375
tensor(238),93.5404896736145,조사(B),-2.719545551492435,14.638580265821506,1339.84375,1427.734375
tensor(239),90.91920852661133,도포(A),5.970508316490351,6.8926122669741305,1222.65625,1298.828125
tensor(240),90.46342968940735,도포(A),4.719205827860531,5.798440105554583,1240.234375,1281.25
tensor(240),93.87956857681274,조사(B),0.46386334362230774,6.426728440366614,1298.828125,1292.96875
tensor(240),90.37058353424072,도포(A),2.570945276521818,7.182505039396543,1269.53125,1304.6875
tensor(242),94.34158205986023,조사(B),4.732636562253954,5.086882901001837,1240.234375,1269.53125
tensor(242),91.12355709075928,도포(A),1.714177054997274,7.523020969963492,1281.25,1310.546875
tensor(244),94.94266510009766,도포(A),4.725923333769038,5.442548194821516,1240.234375,1275.390625
tensor(244),94.88114714622498,도포(A),0.45577298396476784,6.783597286533254,1298.828125,1298.828125
tensor(246),95.10632753372192,조사(B),7.145019553052093,-12.36243122167316,1210.9375,976.5625
tensor(246),96.79182767868042,도포(A),4.932064487309327,-5.478762484078952,1240.234375,1093.75
tensor(246),98.30814003944397,조사(B),3.204573737344932,-3.0681530941630375,1263.671875,1134.765625
tensor(246),98.47954511642456,조사(B),7.819555989003551,-2.6167414018963964,1199.21875,1140.625
tensor(246),96.49308323860168,조사(B),0.9676612438436205,2.8792438557396878,1292.96875,1234.375
tensor(246),95.3827977180481,조사(B),3.8999107687949204,4.359055175231934,1251.953125,1257.8125
tensor(246),93.31458806991577,도포(A),5.129525766322596,6.5193138976006475,1234.375,1292.96875
tensor(246),99.16192293167114,조사(B),0.45577298396476784,6.783597286533254,1298.828125,1298.828125
tensor(246),93.54903101921082,조사(B),-1.0243255185459401,15.394293502857032,1316.40625,1439.453125
tensor(246),96.8353807926178,조사(B),-4.0239206882875,15.3405175475566,1357.421875,1439.453125
tensor(247),95.65361738204956,도포(A),10.056836066584365,-12.292893726520832,1169.921875,976.5625
tensor(247),93.87194514274597,도포(A),8.658965233486548,-2.598438129997778,1187.5,1140.625
tensor(247),93.87294054031372,도포(A),8.233744700019576,-2.2570832071603837,1193.359375,1146.484375
tensor(247),95.01549005508423,조사(B),6.4003697483587425,6.5445325397761875,1216.796875,1292.96875
tensor(247),95.61800956726074,도포(A),0.44767745817671933,7.140694012683762,1298.828125,1304.6875
tensor(247),96.50967121124268,조사(B),-3.5857093781523055,14.985529920889784,1351.5625,1433.59375
tensor(247),93.88304948806763,도포(A),1.9714417931299781,15.448000833322263,1275.390625,1439.453125
tensor(248),90.66092371940613,조사(B),5.240994753383864,0.4926637957212971,1234.375,1193.359375
tensor(248),91.59972071647644,도포(A),5.970508316490351,6.8926122669741305,1222.65625,1298.828125
tensor(248),94.01848912239075,조사(B),1.7218687127477554,7.1657851689297,1281.25,1304.6875
tensor(249),92.95076727867126,도포(A),0.8645204574571242,7.506354390490955,1292.96875,1310.546875
tensor(250),94.37527656555176,조사(B),-0.37707904378115964,6.053174601262386,1310.546875,1287.109375
tensor(250),96.38224840164185,조사(B),2.101040468420726,9.3208094328084,1275.390625,1339.84375
tensor(250),91.10071659088135,조사(B),-1.730297931210834,9.24711700914652,1328.125,1339.84375
tensor(250),93.35078597068787,조사(B),-3.16650247145896,15.355889116415979,1345.703125,1439.453125
