layer_z,score_percent,machine_x_mm,machine_y_mm,raw_image_x_px,raw_image_y_px
tensor(234),71.80823683738708,62.23225551046298,-47.57188112055833,408.203125,326.171875
tensor(234),70.77308893203735,59.1468176791187,-45.756925782137984,455.078125,361.328125
tensor(234),72.73596525192261,67.351990089713,-36.82016233074194,337.890625,519.53125
tensor(234),70.23090124130249,61.8344087524326,-36.00844042709848,419.921875,537.109375
tensor(235),71.6423511505127,69.10889304375569,-42.24771968173423,308.59375,419.921875
tensor(235),70.91172933578491,65.64726640820783,-40.10282876246472,361.328125,460.9375
tensor(235),70.92591524124146,48.26017572187341,-37.70829742087728,619.140625,513.671875
tensor(235),72.83213138580322,59.213556681946834,-30.85530223393494,460.9375,630.859375
tensor(236),72.97582626342773,70.50410819508812,-37.05103107141692,291.015625,513.671875
tensor(236),70.45807242393494,53.45136665443226,-37.229926141387196,542.96875,519.53125
tensor(236),73.0015754699707,67.4273679982653,-34.86977211666917,337.890625,554.6875
tensor(237),72.40086197853088,59.89406929238701,-47.009373472423526,443.359375,337.890625
tensor(237),72.68579602241516,71.75240720985823,-44.72422945300456,267.578125,373.046875
tensor(237),71.30141854286194,59.744464809283,-39.312059246003415,449.21875,478.515625
tensor(237),70.08920311927795,47.44212268740056,-38.707487964475455,630.859375,496.09375
tensor(237),72.80632853507996,57.1570721072455,-32.88123234668426,490.234375,595.703125
tensor(238),71.45984172821045,60.287568602489685,-46.99692734253298,437.5,337.890625
tensor(238),72.70514965057373,64.41528197529736,-41.42782403393139,378.90625,437.5
tensor(238),72.49606251716614,49.80524482540566,-39.93376627795383,595.703125,472.65625
tensor(239),71.81399464607239,61.08492981508237,-46.65310877756357,425.78125,343.75
tensor(239),71.30998969078064,49.82702360361278,-38.96096242257531,595.703125,490.234375
tensor(239),72.78097867965698,61.78000351049638,-37.633012556066106,419.921875,507.8125
tensor(239),72.40046858787537,57.84850839270174,-36.45036624035961,478.515625,531.25
tensor(240),71.93187475204468,68.49735823027868,-47.69037268540754,314.453125,320.3125
tensor(240),70.89969515800476,61.106074883658444,-46.014669922333084,425.78125,355.46875
tensor(240),71.4828610420227,57.61745673009313,-44.204902613677454,478.515625,390.625
tensor(240),73.00772070884705,61.061045163707526,-35.38039586087322,431.640625,548.828125
tensor(240),71.38630747795105,53.90071217029177,-35.262816334355364,537.109375,554.6875
tensor(241),70.17611861228943,63.88302847220206,-45.28925020455873,384.765625,367.1875
tensor(241),70.32309174537659,54.920882759211146,-41.7169725272776,519.53125,437.5
tensor(241),70.43436765670776,53.09428636873669,-35.61244603064767,548.828125,548.828125
tensor(241),73.04314374923706,63.0597351095043,-34.996682483409884,402.34375,554.6875
tensor(242),71.21252417564392,67.63881040602658,-49.6191264879762,326.171875,285.15625
tensor(242),70.6153392791748,60.764745425432665,-44.427473129280486,431.640625,384.765625
