candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,B,3,original,35,5171,1.0,0.9683520599250937,0.11978365400627244,0.11387153885384678,0.11387153885384678
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,B,3,mean3,36,5171,1.0,0.9683520599250937,0.12428852781042699,0.1169210305238392,0.1169210305238392
1,mirror_rotate_90,part01;part02;part03;part04,part01,50,B,3,mean5,37,5171,1.0,0.9683520599250937,0.1291027027993971,0.12079075407106302,0.12079075407106302
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,1,original,20,388,1.0,0.07265917602996255,0.04928342299753783,0.048282294213089265,0.048282294213089265
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,1,mean3,21,388,1.0,0.07265917602996255,0.05241792687132762,0.08620269035346025,0.08620269035346025
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,1,mean5,22,388,1.0,0.07265917602996255,0.0017151205793894048,0.04058140190698492,0.04058140190698492
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,2,original,23,3806,1.0,0.7127340823970038,-0.034387986905917996,-0.03791375640609286,0.03791375640609286
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,2,mean3,24,3806,1.0,0.7127340823970038,-0.04939843311198533,-0.052417438557253504,0.052417438557253504
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,2,mean5,25,3806,1.0,0.7127340823970038,-0.0720438508355246,-0.07355318199258007,0.07355318199258007
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,3,original,26,5336,1.0,0.9992509363295881,0.016663706923936455,-0.012507827797750518,0.012507827797750518
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,3,mean3,27,5336,1.0,0.9992509363295881,0.01867565941142029,-0.013212782890302883,0.013212782890302883
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,A,3,mean5,28,5336,1.0,0.9992509363295881,0.016878189040042717,-0.015340685328916904,0.015340685328916904
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,1,original,29,2544,1.0,0.4764044943820225,-0.031160071158181257,-0.01798846450993954,0.01798846450993954
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,1,mean3,30,2544,1.0,0.4764044943820225,-0.030184874083603,-0.018249173280680937,0.018249173280680937
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,1,mean5,31,2544,1.0,0.4764044943820225,-0.036385782226712134,-0.025971206607507562,0.025971206607507562
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,2,original,32,4953,1.0,0.9275280898876405,-0.13565468530371316,-0.17787205455121383,0.17787205455121383
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,2,mean3,33,4953,1.0,0.9275280898876405,-0.14050164772256446,-0.18116488812437917,0.18116488812437917
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,2,mean5,34,4953,1.0,0.9275280898876405,-0.15047714070587553,-0.18701060727879834,0.18701060727879834
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,3,original,35,5094,1.0,0.9539325842696629,0.07049900415724866,0.08605378451129246,0.08605378451129246
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,3,mean3,36,5094,1.0,0.9539325842696629,0.06642159856371288,0.07806317335397674,0.07806317335397674
1,mirror_rotate_90,part01;part02;part03;part04,part02,50,B,3,mean5,37,5094,1.0,0.9539325842696629,0.06161481776867317,0.07002639233310871,0.07002639233310871
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,1,original,20,970,1.0,0.18164794007490637,0.0006374606449652299,-0.015232015362018712,0.015232015362018712
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,1,mean3,21,970,1.0,0.18164794007490637,-0.014852623952371963,-0.030915584856016677,0.030915584856016677
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,1,mean5,22,970,1.0,0.18164794007490637,-0.007661198913322634,-0.008690388522482233,0.008690388522482233
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,2,original,23,4741,1.0,0.8878277153558053,-0.11860536299010656,-0.09898693563058525,0.09898693563058525
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,2,mean3,24,4741,1.0,0.8878277153558053,-0.13726950774734123,-0.11497197695343202,0.11497197695343202
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,2,mean5,25,4741,1.0,0.8878277153558053,-0.14889776157983695,-0.12356997336438277,0.12356997336438277
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,3,original,26,5336,1.0,0.9992509363295881,0.02795478251638354,-0.001760321663557716,0.001760321663557716
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,3,mean3,27,5336,1.0,0.9992509363295881,0.033081458673505655,-0.00012051971038730947,0.00012051971038730947
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,A,3,mean5,28,5336,1.0,0.9992509363295881,0.03957784719576819,0.002845828862003934,0.002845828862003934
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,1,original,29,3219,1.0,0.602808988764045,-0.18455059647546865,-0.18681458549707028,0.18681458549707028
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,1,mean3,30,3219,1.0,0.602808988764045,-0.19788596530290012,-0.19962064192610518,0.19962064192610518
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,1,mean5,31,3219,1.0,0.602808988764045,-0.2121572677902557,-0.21431170470890817,0.21431170470890817
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,2,original,32,5173,1.0,0.9687265917602996,-0.10636682331321877,-0.1594509799975546,0.1594509799975546
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,2,mean3,33,5173,1.0,0.9687265917602996,-0.11423700916147055,-0.1666265125979246,0.1666265125979246
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,2,mean5,34,5173,1.0,0.9687265917602996,-0.12548045595207136,-0.17318253401498593,0.17318253401498593
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,3,original,35,4922,1.0,0.9217228464419476,0.04456136059965272,0.05269541580392511,0.05269541580392511
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,3,mean3,36,4922,1.0,0.9217228464419476,0.04884934748134346,0.06112579711658425,0.06112579711658425
1,mirror_rotate_90,part01;part02;part03;part04,part03,50,B,3,mean5,37,4922,1.0,0.9217228464419476,0.05157804396754772,0.06736542940029293,0.06736542940029293
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,1,original,20,3239,1.0,0.6065543071161049,0.0361574155785648,0.0273183783197855,0.0273183783197855
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,1,mean3,21,3239,1.0,0.6065543071161049,0.02188087717095389,0.015519452786096982,0.015519452786096982
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,1,mean5,22,3239,1.0,0.6065543071161049,0.0020680850174493136,0.0015530547792412237,0.0015530547792412237
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,2,original,23,5216,1.0,0.9767790262172285,-0.039890028332413556,-0.016985618118462734,0.016985618118462734
1,mirror_rotate_90,part01;part02;part03;part04,part04,50,A,2,mean3,24,5216,1.0,0.9767790262172285,-0.037899914512426094,-0.014691292915434098,0.014691292915434098
