candidate_rank,orientation,screen_A_to_D_machine_parts,part,layer_z,stage,led,filter,registered_column_1_based,sample_count,in_frame_fraction,valid_fraction,pearson_r,spearman_r,abs_spearman_r
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,2,mean3,24,2762,1.0,0.7560908842047632,-0.03445288013510304,-0.019660074241430625,0.019660074241430625
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,2,mean5,25,2762,1.0,0.7560908842047632,-0.046172350307952775,-0.03158504382932673,0.03158504382932673
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,3,original,26,3653,1.0,1.0,-0.02780433585690622,-0.041156182738847844,0.041156182738847844
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,3,mean3,27,3653,1.0,1.0,-0.02757693151605289,-0.04457185927747335,0.04457185927747335
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,A,3,mean5,28,3653,1.0,1.0,-0.036412596169081636,-0.05433686994202516,0.05433686994202516
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,1,original,29,1331,1.0,0.3643580618669587,0.3441124821369438,0.3640916951823424,0.3640916951823424
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,1,mean3,30,1331,1.0,0.3643580618669587,0.34947564727586455,0.373963676191149,0.373963676191149
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,1,mean5,31,1331,1.0,0.3643580618669587,0.3575781089950888,0.39024062208496585,0.39024062208496585
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,2,original,32,3379,1.0,0.9249931563098823,0.5647338408000051,0.6023269874818121,0.6023269874818121
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,2,mean3,33,3379,1.0,0.9249931563098823,0.5850903084066841,0.6190650438222253,0.6190650438222253
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,2,mean5,34,3379,1.0,0.9249931563098823,0.610412559987194,0.6400565477067427,0.6400565477067427
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,3,original,35,3575,1.0,0.9786476868327402,0.5172536671243687,0.561398144266478,0.561398144266478
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,3,mean3,36,3575,1.0,0.9786476868327402,0.5257859850076948,0.5709300585335731,0.5709300585335731
1,mirror_rotate_90,part01;part02;part03;part04,part02,75,B,3,mean5,37,3575,1.0,0.9786476868327402,0.537935987067696,0.5838999273353004,0.5838999273353004
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,1,original,20,713,1.0,0.1951820421571311,-0.018287195614721218,-0.02290477474047497,0.02290477474047497
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,1,mean3,21,713,1.0,0.1951820421571311,-0.03138797538588616,-0.060362029619600494,0.060362029619600494
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,1,mean5,22,713,1.0,0.1951820421571311,-0.038429968098136744,-0.08868482752891918,0.08868482752891918
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,2,original,23,3382,1.0,0.9258143991240076,-0.044701323574864484,-0.051439192505311086,0.051439192505311086
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,2,mean3,24,3382,1.0,0.9258143991240076,-0.05401921056899098,-0.06088809049972287,0.06088809049972287
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,2,mean5,25,3382,1.0,0.9258143991240076,-0.07166742499078288,-0.07326807804783911,0.07326807804783911
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,3,original,26,3653,1.0,1.0,-0.01731215929441508,-0.030576479943640097,0.030576479943640097
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,3,mean3,27,3653,1.0,1.0,-0.027226093079866086,-0.03537140298301662,0.03537140298301662
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,A,3,mean5,28,3653,1.0,1.0,-0.04120899022424018,-0.04244000269307694,0.04244000269307694
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,1,original,29,1693,1.0,0.46345469477142076,0.44319147394934005,0.4706938069069892,0.4706938069069892
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,1,mean3,30,1693,1.0,0.46345469477142076,0.45303473968652724,0.4763770767129358,0.4763770767129358
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,1,mean5,31,1693,1.0,0.46345469477142076,0.46501719743756326,0.4856073399021878,0.4856073399021878
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,2,original,32,3537,1.0,0.9682452778538188,0.5634886722916619,0.5985175974588719,0.5985175974588719
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,2,mean3,33,3537,1.0,0.9682452778538188,0.5857337073584133,0.6189597889901016,0.6189597889901016
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,2,mean5,34,3537,1.0,0.9682452778538188,0.6136651842975652,0.6431056398586877,0.6431056398586877
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,3,original,35,3442,1.0,0.9422392554065152,0.4984929182591321,0.5423588406862686,0.5423588406862686
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,3,mean3,36,3442,1.0,0.9422392554065152,0.506308068913558,0.5540786846545122,0.5540786846545122
1,mirror_rotate_90,part01;part02;part03;part04,part03,75,B,3,mean5,37,3442,1.0,0.9422392554065152,0.5164141254264895,0.5661373904872254,0.5661373904872254
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,1,original,20,2241,1.0,0.6134683821516562,-0.009012521264931815,-0.017507046969916746,0.017507046969916746
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,1,mean3,21,2241,1.0,0.6134683821516562,-0.010121135426776576,-0.025047554648283316,0.025047554648283316
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,1,mean5,22,2241,1.0,0.6134683821516562,-0.005162861240742461,-0.010817167735607197,0.010817167735607197
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,2,original,23,3580,1.0,0.9800164248562825,-0.07347083372130653,-0.08741275578694807,0.08741275578694807
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,2,mean3,24,3580,1.0,0.9800164248562825,-0.08468555382054666,-0.10495473810614177,0.10495473810614177
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,2,mean5,25,3580,1.0,0.9800164248562825,-0.09423102413285522,-0.10737184962749562,0.10737184962749562
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,3,original,26,3653,1.0,1.0,-0.016781598435404204,-0.019994504934132858,0.019994504934132858
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,3,mean3,27,3653,1.0,1.0,-0.028621888389824792,-0.034805061957293215,0.034805061957293215
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,A,3,mean5,28,3653,1.0,1.0,-0.04223309945531498,-0.05141051818589386,0.05141051818589386
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,1,original,29,2044,1.0,0.5595401040240898,0.3488474535150476,0.45375769428770085,0.45375769428770085
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,1,mean3,30,2044,1.0,0.5595401040240898,0.35801039691273123,0.470965738930973,0.470965738930973
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,1,mean5,31,2044,1.0,0.5595401040240898,0.3720606677875975,0.48948073398547554,0.48948073398547554
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,2,original,32,3607,1.0,0.9874076101834109,0.5879059524589455,0.6325433846252368,0.6325433846252368
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,2,mean3,33,3607,1.0,0.9874076101834109,0.59952955155522,0.6385701794754755,0.6385701794754755
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,2,mean5,34,3607,1.0,0.9874076101834109,0.6114337563216683,0.6457976016018352,0.6457976016018352
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,3,original,35,3303,1.0,0.9041883383520394,0.45249600616494695,0.49715352529528084,0.49715352529528084
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,3,mean3,36,3303,1.0,0.9041883383520394,0.4588751225007676,0.5010460875397158,0.5010460875397158
1,mirror_rotate_90,part01;part02;part03;part04,part04,75,B,3,mean5,37,3303,1.0,0.9041883383520394,0.47144467176776284,0.5111595113771337,0.5111595113771337
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,1,original,20,65,1.0,0.01780821917808219,0.01161796481794906,0.08973383044068087,0.08973383044068087
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,1,mean3,21,65,1.0,0.01780821917808219,0.053461664257314606,0.1423910705960179,0.1423910705960179
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,1,mean5,22,65,1.0,0.01780821917808219,0.07307062459506818,0.16985786661541857,0.16985786661541857
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,2,original,23,1364,1.0,0.3736986301369863,-0.049844574630640105,-0.040206065594042086,0.040206065594042086
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,2,mean3,24,1364,1.0,0.3736986301369863,-0.0613245116087564,-0.053675272069634704,0.053675272069634704
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,2,mean5,25,1364,1.0,0.3736986301369863,-0.061028493147716044,-0.051518776777041926,0.051518776777041926
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,3,original,26,3650,1.0,1.0,0.027470004654123165,0.009807506786683745,0.009807506786683745
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,3,mean3,27,3650,1.0,1.0,0.033365187846956454,0.012131830390721958,0.012131830390721958
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,A,3,mean5,28,3650,1.0,1.0,0.03180269392133029,0.006305998188879683,0.006305998188879683
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,1,original,29,609,1.0,0.16684931506849315,-0.3415287002440496,-0.3261262987521132,0.3261262987521132
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,1,mean3,30,609,1.0,0.16684931506849315,-0.34308565307755223,-0.3307022212258688,0.3307022212258688
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,1,mean5,31,609,1.0,0.16684931506849315,-0.3471569414771054,-0.33895114511352603,0.33895114511352603
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,2,original,32,2469,1.0,0.6764383561643835,0.18984552027763493,0.2215077390369144,0.2215077390369144
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,2,mean3,33,2469,1.0,0.6764383561643835,0.20009305515095932,0.22727043358580595,0.22727043358580595
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,2,mean5,34,2469,1.0,0.6764383561643835,0.21531313564945742,0.23891277488016532,0.23891277488016532
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,3,original,35,3531,1.0,0.9673972602739725,0.04985864519032474,0.060194903667434956,0.060194903667434956
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,3,mean3,36,3531,1.0,0.9673972602739725,0.046325604404694014,0.05603306796226589,0.05603306796226589
1,mirror_rotate_90,part01;part02;part03;part04,part01,100,B,3,mean5,37,3531,1.0,0.9673972602739725,0.04297597409922,0.05359802278309983,0.05359802278309983
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,1,original,20,96,1.0,0.0263013698630137,-0.06978205997731629,0.0383032593289085,0.0383032593289085
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,1,mean3,21,96,1.0,0.0263013698630137,-0.0661540810329058,-0.0016944593793616297,0.0016944593793616297
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,1,mean5,22,96,1.0,0.0263013698630137,-0.05672437132105346,-0.028600230358695338,0.028600230358695338
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,2,original,23,2609,1.0,0.7147945205479452,0.03745963948896579,0.0017161361191110522,0.0017161361191110522
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,2,mean3,24,2609,1.0,0.7147945205479452,0.04417198878187477,0.003254673924549408,0.003254673924549408
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,2,mean5,25,2609,1.0,0.7147945205479452,0.053315221152654545,0.013472205705780413,0.013472205705780413
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,3,original,26,3650,1.0,1.0,-0.01952245967910439,-0.013602458797042031,0.013602458797042031
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,3,mean3,27,3650,1.0,1.0,-0.02113783280258482,-0.014966591372428752,0.014966591372428752
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,A,3,mean5,28,3650,1.0,1.0,-0.024055146443842823,-0.020042810136024852,0.020042810136024852
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,1,original,29,1143,1.0,0.31315068493150683,-0.026259382571352408,-0.03865755886152811,0.03865755886152811
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,1,mean3,30,1143,1.0,0.31315068493150683,-0.028107358296343938,-0.04775390166583447,0.04775390166583447
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,1,mean5,31,1143,1.0,0.31315068493150683,-0.034881642931000975,-0.05590572390301994,0.05590572390301994
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,2,original,32,2971,1.0,0.813972602739726,0.08768400479172808,0.11203235881471232,0.11203235881471232
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,2,mean3,33,2971,1.0,0.813972602739726,0.09584202654583517,0.11803269763068526,0.11803269763068526
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,2,mean5,34,2971,1.0,0.813972602739726,0.10387737602996547,0.12439832555857626,0.12439832555857626
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,3,original,35,3320,1.0,0.9095890410958904,0.04696474969819386,0.051208032681196884,0.051208032681196884
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,3,mean3,36,3320,1.0,0.9095890410958904,0.0441613513658182,0.0497590519940959,0.0497590519940959
1,mirror_rotate_90,part01;part02;part03;part04,part02,100,B,3,mean5,37,3320,1.0,0.9095890410958904,0.039856282833126144,0.049240009821719735,0.049240009821719735
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,1,original,20,590,1.0,0.16164383561643836,0.017411605816227797,0.0031833747268256666,0.0031833747268256666
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,1,mean3,21,590,1.0,0.16164383561643836,-0.011311373765442872,-0.024223636451164734,0.024223636451164734
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,1,mean5,22,590,1.0,0.16164383561643836,0.0019358172300757907,-0.01658033191994477,0.01658033191994477
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,2,original,23,3371,1.0,0.9235616438356165,-0.0037937644525785387,-0.00524876202829201,0.00524876202829201
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,2,mean3,24,3371,1.0,0.9235616438356165,-0.006949212782493443,-0.009292390583756447,0.009292390583756447
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,2,mean5,25,3371,1.0,0.9235616438356165,-0.017177178317503577,-0.020221057046028133,0.020221057046028133
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,3,original,26,3645,1.0,0.9986301369863013,-0.01783433968838517,-0.014021776109235908,0.014021776109235908
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,3,mean3,27,3645,1.0,0.9986301369863013,-0.02208266692455144,-0.017068159759025498,0.017068159759025498
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,A,3,mean5,28,3645,1.0,0.9986301369863013,-0.02136864775373527,-0.02322441836075355,0.02322441836075355
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,1,original,29,1594,1.0,0.4367123287671233,0.21879165105041765,0.1866992937912294,0.1866992937912294
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,1,mean3,30,1594,1.0,0.4367123287671233,0.22061950793933133,0.19072744804177766,0.19072744804177766
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,1,mean5,31,1594,1.0,0.4367123287671233,0.2193730307091656,0.1853385154966674,0.1853385154966674
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,2,original,32,3437,1.0,0.9416438356164384,0.11134348150864011,0.12620406572382564,0.12620406572382564
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,2,mean3,33,3437,1.0,0.9416438356164384,0.11687641652718027,0.132254916656273,0.132254916656273
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,2,mean5,34,3437,1.0,0.9416438356164384,0.124795008604523,0.139492689132603,0.139492689132603
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,3,original,35,3124,1.0,0.8558904109589041,0.06664664063702085,0.06929836338260253,0.06929836338260253
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,3,mean3,36,3124,1.0,0.8558904109589041,0.062319165360339164,0.06512207733864975,0.06512207733864975
1,mirror_rotate_90,part01;part02;part03;part04,part03,100,B,3,mean5,37,3124,1.0,0.8558904109589041,0.05691354132758365,0.06235525459119166,0.06235525459119166
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,1,original,20,2093,1.0,0.5734246575342465,0.03643866734100336,0.06884746814828865,0.06884746814828865
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,1,mean3,21,2093,1.0,0.5734246575342465,0.06808875063789104,0.08667781304695106,0.08667781304695106
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,1,mean5,22,2093,1.0,0.5734246575342465,0.0784241568021106,0.08489074880270989,0.08489074880270989
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,2,original,23,3577,1.0,0.98,-0.061355383606846836,-0.04707793333017875,0.04707793333017875
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,2,mean3,24,3577,1.0,0.98,-0.06712719896533005,-0.056229943547949926,0.056229943547949926
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,2,mean5,25,3577,1.0,0.98,-0.06775179967535017,-0.05863022590141037,0.05863022590141037
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,3,original,26,3644,1.0,0.9983561643835617,-0.02318580878061983,-0.04093154780195961,0.04093154780195961
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,3,mean3,27,3644,1.0,0.9983561643835617,-0.023416062900114304,-0.035997018735876074,0.035997018735876074
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,A,3,mean5,28,3644,1.0,0.9983561643835617,-0.02760885994992954,-0.035606014237303425,0.035606014237303425
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,1,original,29,2049,1.0,0.5613698630136986,-0.1474139223773838,-0.09870543953887492,0.09870543953887492
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,1,mean3,30,2049,1.0,0.5613698630136986,-0.1619057643147488,-0.11370654287989912,0.11370654287989912
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,1,mean5,31,2049,1.0,0.5613698630136986,-0.1699884560442653,-0.09671668771594766,0.09671668771594766
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,2,original,32,3537,1.0,0.969041095890411,0.22741263643303697,0.22526312947950888,0.22526312947950888
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,2,mean3,33,3537,1.0,0.969041095890411,0.23447879928745247,0.22847905622210327,0.22847905622210327
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,2,mean5,34,3537,1.0,0.969041095890411,0.2444357227637081,0.23403342723499704,0.23403342723499704
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,3,original,35,2894,1.0,0.7928767123287671,0.06469937801860005,0.05716796823471258,0.05716796823471258
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,3,mean3,36,2894,1.0,0.7928767123287671,0.06509552967564282,0.059026579993725944,0.059026579993725944
1,mirror_rotate_90,part01;part02;part03;part04,part04,100,B,3,mean5,37,2894,1.0,0.7928767123287671,0.06589195360717068,0.06082710147310927,0.06082710147310927
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,1,original,20,128,1.0,0.03305785123966942,0.1618487698803666,0.158598299577624,0.158598299577624
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,1,mean3,21,128,1.0,0.03305785123966942,0.16624094274977222,0.16960534133867258,0.16960534133867258
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,1,mean5,22,128,1.0,0.03305785123966942,0.15573316206270188,0.1647723136171647,0.1647723136171647
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,2,original,23,1466,1.0,0.37861570247933884,0.000409121613022805,0.01057353521141073,0.01057353521141073
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,2,mean3,24,1466,1.0,0.37861570247933884,0.0017615041356074327,0.015906466566261254,0.015906466566261254
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,2,mean5,25,1466,1.0,0.37861570247933884,-0.0010849408072750764,0.008929048192784594,0.008929048192784594
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,3,original,26,3872,1.0,1.0,-0.04759885750454799,-0.039654253611971516,0.039654253611971516
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,3,mean3,27,3872,1.0,1.0,-0.04979502997475696,-0.040815579169721145,0.040815579169721145
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,A,3,mean5,28,3872,1.0,1.0,-0.05259880195516752,-0.0451033772223854,0.0451033772223854
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,1,original,29,1174,1.0,0.303202479338843,0.12084307113596977,0.14928906369803285,0.14928906369803285
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,1,mean3,30,1174,1.0,0.303202479338843,0.12052753708590996,0.1491436838569878,0.1491436838569878
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,1,mean5,31,1174,1.0,0.303202479338843,0.12139564756370205,0.15197601812867798,0.15197601812867798
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,2,original,32,3073,1.0,0.793646694214876,0.17752392989122115,0.31677488987562974,0.31677488987562974
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,2,mean3,33,3073,1.0,0.793646694214876,0.1793678409308045,0.3258454086472902,0.3258454086472902
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,2,mean5,34,3073,1.0,0.793646694214876,0.18870242229304926,0.3393117553316812,0.3393117553316812
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,3,original,35,3869,1.0,0.9992252066115702,0.4375122083672615,0.39723682677890976,0.39723682677890976
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,3,mean3,36,3869,1.0,0.9992252066115702,0.44384586248254865,0.402695870535846,0.402695870535846
1,mirror_rotate_90,part01;part02;part03;part04,part01,125,B,3,mean5,37,3869,1.0,0.9992252066115702,0.45136551048630147,0.41138319190924855,0.41138319190924855
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,1,original,20,192,1.0,0.049586776859504134,-0.08604147023052805,-0.06361671605482366,0.06361671605482366
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,1,mean3,21,192,1.0,0.049586776859504134,-0.049764201437991096,-0.05956725557184876,0.05956725557184876
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,1,mean5,22,192,1.0,0.049586776859504134,-0.027490315462786775,-0.02681228999787924,0.02681228999787924
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,2,original,23,2798,1.0,0.7226239669421488,0.002260566523966978,-0.007427624839128189,0.007427624839128189
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,2,mean3,24,2798,1.0,0.7226239669421488,0.00075349065837555,-0.009529055248025765,0.009529055248025765
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,2,mean5,25,2798,1.0,0.7226239669421488,0.006800430242314096,-0.002480009794469277,0.002480009794469277
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,3,original,26,3871,1.0,0.99974173553719,0.03049670011031147,0.044497020924294105,0.044497020924294105
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,3,mean3,27,3871,1.0,0.99974173553719,0.03337539616843232,0.050657571206142234,0.050657571206142234
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,A,3,mean5,28,3871,1.0,0.99974173553719,0.03457339376535595,0.05487234617677244,0.05487234617677244
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,1,original,29,1616,1.0,0.41735537190082644,0.26057771232555704,0.2935477391871601,0.2935477391871601
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,1,mean3,30,1616,1.0,0.41735537190082644,0.2605140889750903,0.29750274822670786,0.29750274822670786
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,1,mean5,31,1616,1.0,0.41735537190082644,0.259762554429189,0.2942112146546059,0.2942112146546059
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,2,original,32,3558,1.0,0.918904958677686,0.19085662261236624,0.29776901483090723,0.29776901483090723
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,2,mean3,33,3558,1.0,0.918904958677686,0.2005837065041243,0.3076844399245312,0.3076844399245312
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,2,mean5,34,3558,1.0,0.918904958677686,0.20833339113371702,0.31750439153546267,0.31750439153546267
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,3,original,35,3830,1.0,0.9891528925619835,0.3754885519140564,0.3831950896910595,0.3831950896910595
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,3,mean3,36,3830,1.0,0.9891528925619835,0.3807122615997878,0.38886868208716524,0.38886868208716524
1,mirror_rotate_90,part01;part02;part03;part04,part02,125,B,3,mean5,37,3830,1.0,0.9891528925619835,0.38802608961314317,0.39476151717002533,0.39476151717002533
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,1,original,20,838,1.0,0.21642561983471073,-0.061975112213242305,-0.04864961444794957,0.04864961444794957
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,1,mean3,21,838,1.0,0.21642561983471073,-0.08370846571039661,-0.07494359552677604,0.07494359552677604
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,1,mean5,22,838,1.0,0.21642561983471073,-0.06605093722137073,-0.03884797202461532,0.03884797202461532
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,2,original,23,3512,1.0,0.9070247933884298,-0.06870712943735754,-0.06207786301274594,0.06207786301274594
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,2,mean3,24,3512,1.0,0.9070247933884298,-0.08626577444416964,-0.07704152368636161,0.07704152368636161
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,2,mean5,25,3512,1.0,0.9070247933884298,-0.10859584422839531,-0.09646283830980819,0.09646283830980819
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,3,original,26,3871,1.0,0.99974173553719,-0.030089839094781252,-0.018238154235067604,0.018238154235067604
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,3,mean3,27,3871,1.0,0.99974173553719,-0.03228753590271668,-0.021817707568310432,0.021817707568310432
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,A,3,mean5,28,3871,1.0,0.99974173553719,-0.035760010469485966,-0.02552282076875086,0.02552282076875086
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,B,1,original,29,1999,1.0,0.5162706611570248,0.2779473322244708,0.32778075918147004,0.32778075918147004
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,B,1,mean3,30,1999,1.0,0.5162706611570248,0.2802203442266667,0.33343834591318133,0.33343834591318133
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,B,1,mean5,31,1999,1.0,0.5162706611570248,0.2798559868593694,0.3313184613157939,0.3313184613157939
1,mirror_rotate_90,part01;part02;part03;part04,part03,125,B,2,original,32,3765,1.0,0.9723657024793388,0.24462394482223457,0.33385831191514176,0.33385831191514176
