sample_id,layer_z,rank,score,x_model_pixel,y_model_pixel,raw_camera_x_px,raw_camera_y_px,expected_raw_camera_x_px,expected_raw_camera_y_px,model_grid_roundtrip_x,model_grid_roundtrip_y,model_grid_roundtrip_error_px,raw_center_mapping_error_px,grid_in_bounds,raw_in_working_roi,raw_in_sensor_fov,model_edge_margin_px,model_edge_safe,score_finite,score_in_unit_interval,inverse_homography_denominator,machine_x,machine_y,containing_machine_part,inverse_transform_solvable,reprojected_raw_camera_x_px,reprojected_raw_camera_y_px,raw_camera_roundtrip_error_px,score_semantics
test_z_207,207,5,0.7262009382247925,187,203,1348.6328125,1442.3828125,1348.6328125,1442.3828125,187.0,203.0,0.0,0.0,True,True,True,52.0,True,True,True,0.9838985393898007,-3.397270585253674,15.922658068829957,part01,True,1348.6328125,1442.3828125000002,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_208,208,1,0.7385063767433167,178,197,1295.8984375,1407.2265625,1295.8984375,1407.2265625,178.0,197.0,0.0,0.0,True,True,True,58.0,True,True,True,0.987214909765532,0.5146836733916401,13.80638134986482,part01,True,1295.8984375000002,1407.2265625000005,5.084229945850415e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_208,208,2,0.730587363243103,183,177,1325.1953125,1290.0390625,1325.1953125,1290.0390625,183.0,177.0,0.0,0.0,True,True,True,72.0,True,True,True,0.9932765794633512,-1.446158728825488,6.570563088383368,part02,True,1325.1953125,1290.0390624999998,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_208,208,3,0.7297431826591492,167,175,1231.4453125,1278.3203125,1231.4453125,1278.3203125,167.0,175.0,0.0,0.0,True,True,True,80.0,True,True,True,0.9962365413088818,5.357040257137843,5.987274453406693,part02,True,1231.4453125,1278.3203125,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_208,208,4,0.7250146269798279,177,168,1290.0390625,1237.3046875,1290.0390625,1237.3046875,177.0,168.0,0.0,0.0,True,True,True,78.0,True,True,True,0.9971812282652444,1.1757203214718572,3.4137950849799656,part02,True,1290.0390625000002,1237.3046875000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_208,208,5,0.7248601317405701,172,176,1260.7421875,1284.1796875,1260.7421875,1284.1796875,172.0,176.0,0.0,0.0,True,True,True,79.0,True,True,True,0.9951845230907981,3.2326556554522,6.30295265673028,part02,True,1260.7421875,1284.1796875000002,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_209,209,1,0.7349795699119568,193,194,1383.7890625,1389.6484375,1383.7890625,1389.6484375,193.0,194.0,0.0,0.0,True,True,True,61.0,True,True,True,0.9860913373729674,-5.883020872863603,12.611324938082285,part01,True,1383.7890625000002,1389.6484375000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_209,209,2,0.7342867255210876,179,197,1301.7578125,1407.2265625,1301.7578125,1407.2265625,179.0,197.0,0.0,0.0,True,True,True,58.0,True,True,True,0.987072255530638,0.08693829699301983,13.799246341636856,part01,True,1301.7578125000002,1407.2265625000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_209,209,3,0.7324492335319519,171,175,1254.8828125,1278.3203125,1254.8828125,1278.3203125,171.0,175.0,0.0,0.0,True,True,True,80.0,True,True,True,0.9956659243693065,3.6636015223812746,5.954499615272778,part02,True,1254.8828125000002,1278.3203125,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_209,209,4,0.7308310270309448,166,164,1225.5859375,1213.8671875,1225.5859375,1213.8671875,166.0,164.0,0.0,0.0,True,True,True,89.0,True,True,True,1.0001054130235345,5.850349916208191,2.091403786101092,part02,True,1225.5859375,1213.8671875000002,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_209,209,5,0.7262572050094604,179,170,1301.7578125,1249.0234375,1301.7578125,1249.0234375,179.0,170.0,0.0,0.0,True,True,True,76.0,True,True,True,0.9962184257082277,0.3123186514155716,4.107522417372066,part02,True,1301.7578125000002,1249.0234375,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,1,0.7369325757026672,179,196,1301.7578125,1401.3671875,1301.7578125,1401.3671875,179.0,196.0,0.0,0.0,True,True,True,59.0,True,True,True,0.9874110025742525,0.09536017412584948,13.43709184816076,part01,True,1301.7578125000002,1401.3671875,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,2,0.7315165996551514,168,175,1237.3046875,1278.3203125,1237.3046875,1278.3203125,168.0,175.0,0.0,0.0,True,True,True,80.0,True,True,True,0.9960938870739879,4.9338624660972075,5.979084264226207,part02,True,1237.3046875,1278.3203125,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,3,0.7254365682601929,175,167,1278.3203125,1231.4453125,1278.3203125,1231.4453125,175.0,167.0,0.0,0.0,True,True,True,80.0,True,True,True,0.9978052837786464,2.029784369738625,3.076027119781443,part02,True,1278.3203125,1231.4453124999998,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,4,0.7239785194396973,161,139,1196.2890625,1067.3828125,1196.2890625,1067.3828125,161.0,139.0,0.0,0.0,True,True,True,94.0,True,True,True,1.0092873602883645,8.095855177664252,-6.624809165666042,part03,True,1196.2890625,1067.3828125,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,5,0.7217587828636169,184,175,1331.0546875,1278.3203125,1331.0546875,1278.3203125,184.0,175.0,0.0,0.0,True,True,True,71.0,True,True,True,0.9938114193156863,-1.8535045648889144,5.847721463062918,part02,True,1331.0546875000002,1278.3203125,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,1,0.7372183203697205,179,196,1301.7578125,1401.3671875,1301.7578125,1401.3671875,179.0,196.0,0.0,0.0,True,True,True,59.0,True,True,True,0.9874110025742525,0.09536017412584948,13.43709184816076,part01,True,1301.7578125000002,1401.3671875,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,2,0.7352569103240967,193,196,1383.7890625,1401.3671875,1383.7890625,1401.3671875,193.0,196.0,0.0,0.0,True,True,True,59.0,True,True,True,0.9854138432857384,-5.9040032453622215,13.33628517496201,part01,True,1383.7890625,1401.3671875000002,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,3,0.7281158566474915,182,174,1319.3359375,1272.4609375,1319.3359375,1272.4609375,182.0,174.0,0.0,0.0,True,True,True,73.0,True,True,True,0.9944354748290885,-0.994645396892701,5.5072815108379,part02,True,1319.3359375000005,1272.4609375000005,6.431098710768743e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,4,0.7243490219116211,171,176,1254.8828125,1284.1796875,1254.8828125,1284.1796875,171.0,176.0,0.0,0.0,True,True,True,79.0,True,True,True,0.995327177325692,3.656463899485501,6.311103910638459,part02,True,1254.8828124999998,1284.1796875,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,5,0.7235691547393799,165,173,1219.7265625,1266.6015625,1219.7265625,1266.6015625,165.0,173.0,0.0,0.0,True,True,True,82.0,True,True,True,0.9971993438658984,6.21555553017503,5.291744810583293,part02,True,1219.7265625,1266.6015625,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,1,0.7378227710723877,179,194,1301.7578125,1389.6484375,1301.7578125,1389.6484375,179.0,194.0,0.0,0.0,True,True,True,61.0,True,True,True,0.9880884966614814,0.11218660472468252,12.713527807219462,part01,True,1301.7578125000002,1389.6484375,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,2,0.7341365814208984,190,191,1366.2109375,1372.0703125,1366.2109375,1372.0703125,190.0,191.0,0.0,0.0,True,True,True,64.0,True,True,True,0.9875355412084922,-4.566208276669395,11.548133801664061,part01,True,1366.2109375,1372.0703125000005,4.547473508864641e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,3,0.731816291809082,169,176,1243.1640625,1284.1796875,1243.1640625,1284.1796875,169.0,176.0,0.0,0.0,True,True,True,79.0,True,True,True,0.9956124857954797,4.5037160407304695,6.3273994108435,part02,True,1243.1640625,1284.1796875000002,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,4,0.7309464812278748,166,165,1225.5859375,1219.7265625,1225.5859375,1219.7265625,166.0,165.0,0.0,0.0,True,True,True,89.0,True,True,True,0.99976666597992,5.8439849155408545,2.44511565355027,part02,True,1225.5859375000002,1219.7265625000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,5,0.7298642992973328,177,170,1290.0390625,1249.0234375,1290.0390625,1249.0234375,177.0,170.0,0.0,0.0,True,True,True,78.0,True,True,True,0.9965037341780154,1.1597704917245562,4.124434249563261,part02,True,1290.0390625,1249.0234375,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,1,0.7381501197814941,180,193,1307.6171875,1383.7890625,1307.6171875,1383.7890625,180.0,193.0,0.0,0.0,True,True,True,62.0,True,True,True,0.9882845894702019,-0.30668637421572525,12.344781577358297,part01,True,1307.6171875000002,1383.7890625000002,3.2155493553843715e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,2,0.7357181310653687,164,167,1213.8671875,1231.4453125,1213.8671875,1231.4453125,164.0,167.0,0.0,0.0,True,True,True,88.0,True,True,True,0.9993744803624789,6.674683882982024,3.1703946390318087,part02,True,1213.8671875,1231.4453125,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,3,0.7251940369606018,156,147,1166.9921875,1114.2578125,1166.9921875,1114.2578125,156.0,147.0,0.0,0.0,True,True,True,99.0,True,True,True,1.0072906551139185,10.141786675180223,-3.7902740167202618,part03,True,1166.9921875000002,1114.2578125,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,4,0.7238326072692871,186,201,1342.7734375,1430.6640625,1342.7734375,1430.6640625,186.0,201.0,0.0,0.0,True,True,True,54.0,True,True,True,0.9847186877119234,-2.948649171816596,15.201753309024129,part01,True,1342.7734375000002,1430.6640625000005,5.084229945850415e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,5,0.7227902412414551,177,169,1290.0390625,1243.1640625,1290.0390625,1243.1640625,177.0,169.0,0.0,0.0,True,True,True,78.0,True,True,True,0.9968424812216299,1.1677481166340251,3.7689939225598716,part02,True,1290.0390625000002,1243.1640625,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_214,214,1,0.7303762435913086,179,196,1301.7578125,1401.3671875,1301.7578125,1401.3671875,179.0,196.0,0.0,0.0,True,True,True,59.0,True,True,True,0.9874110025742525,0.09536017412584948,13.43709184816076,part01,True,1301.7578125000002,1401.3671875,2.2737367544323206e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_214,214,2,0.729984700679779,170,176,1249.0234375,1284.1796875,1249.0234375,1284.1796875,170.0,176.0,0.0,0.0,True,True,True,79.0,True,True,True,0.9954698315605859,4.080150677174199,6.319252828341471,part02,True,1249.0234375,1284.1796875,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
