dataset_index,sample_id,endpoint_layer_z,candidate_status,candidate_count,spatial_range,top1_score,top2_score,top1_top2_margin,top1_top2_margin_fraction_of_spatial_range,top1_top2_separation_model_px,top1_top2_separation_raw_px
13,test_z_216,216,emitted,5,0.6725492775440216,0.9844567179679871,0.7996294498443604,0.1848272681236267,0.2748159492469738,27.459060435491963,160.89293223921072
14,test_z_217,217,emitted,5,0.6389220058917999,0.9304432272911072,0.8738274574279785,0.05661576986312866,0.08861139441285174,12.041594578792296,70.5562182351111
15,test_z_218,218,emitted,5,0.5581710934638977,0.8498247861862183,0.8365992903709412,0.0132254958152771,0.023694340266175964,12.727922061357855,74.57766832826869
16,test_z_219,219,emitted,5,0.5966033637523651,0.8763860464096069,0.8174206614494324,0.05896538496017456,0.09883515337444458,105.47511554864494,618.0182551678414
17,test_z_220,220,emitted,5,0.5899416208267212,0.8695634603500366,0.8128089904785156,0.056754469871520996,0.0962035358549334,150.65191668213185,882.7260743093664
18,test_z_221,221,emitted,5,0.5926843285560608,0.8695356845855713,0.8336425423622131,0.035893142223358154,0.060560302498302174,27.892651361962706,163.43350407400024
19,test_z_222,222,emitted,5,0.5630100965499878,0.8508644700050354,0.8192905187606812,0.03157395124435425,0.05608061283062781,68.4470598345904,401.0569912183032
20,test_z_223,223,emitted,5,0.5672068297863007,0.8538070321083069,0.8089518547058105,0.04485517740249634,0.07908081328885948,37.64306044943742,220.5648073209224
21,test_z_224,224,emitted,5,0.5517447590827942,0.8352994322776794,0.8309725522994995,0.004326879978179932,0.007842176852522934,42.95346318982906,251.68044837790464
22,test_z_225,225,emitted,5,0.523253858089447,0.7983486652374268,0.7977798581123352,0.0005688071250915527,0.001087057680125731,137.05838172107534,803.0764553969259
23,test_z_226,226,emitted,5,0.5520073473453522,0.8344156742095947,0.8142433762550354,0.020172297954559326,0.03654353162429727,27.294688127912362,159.9298132494865
24,test_z_227,227,emitted,5,0.5716683268547058,0.8571027517318726,0.8260717391967773,0.031031012535095215,0.05428149694041384,208.00240383226344,1218.7640849546685
25,test_z_228,228,emitted,5,0.6482700407505035,0.9261319637298584,0.9251189827919006,0.0010129809379577637,0.0015625910103527745,7.211102550927978,42.252554009343626
26,test_z_229,229,emitted,5,0.6256251931190491,0.9241373538970947,0.9213669896125793,0.002770364284515381,0.004428153333633758,45.27692569068709,265.29448646886965
27,test_z_230,230,emitted,5,0.6265896260738373,0.893990159034729,0.8622393608093262,0.03175079822540283,0.050672396899308574,17.88854381999832,104.81568644530265
28,test_z_231,231,emitted,5,0.6291513442993164,0.913375735282898,0.8870784044265747,0.026297330856323242,0.041798100082914846,64.28841264178172,376.6899178229398
29,test_z_232,232,emitted,5,0.5817621350288391,0.8675090670585632,0.8565406799316406,0.010968387126922607,0.018853731562262784,33.015148038438355,193.44813303772474
30,test_z_233,233,emitted,5,0.6837692260742188,0.9777841567993164,0.9017389416694641,0.0760452151298523,0.11121473770683865,15.0,87.890625
31,test_z_234,234,emitted,5,0.6236473619937897,0.9205859899520874,0.8930380344390869,0.02754795551300049,0.044172327491180524,138.6001443000692,812.1102205082178
32,test_z_235,235,emitted,5,0.6164827048778534,0.9013372659683228,0.8465732336044312,0.0547640323638916,0.08883303932223412,8.602325267042627,50.40424961157789
33,test_z_236,236,emitted,5,0.6543421745300293,0.9971070885658264,0.9926804900169373,0.00442659854888916,0.006764959865331152,19.209372712298546,112.5549182361243
34,test_z_237,237,emitted,5,0.6771959066390991,0.9593647718429565,0.934440016746521,0.024924755096435547,0.03680582657407999,52.32590180780452,306.5970809051046
35,test_z_238,238,emitted,5,0.6751813590526581,0.9780526757240295,0.9592772126197815,0.018775463104248047,0.027808029431665233,15.811388300841896,92.64485332524549
36,test_z_239,239,emitted,5,0.6624895334243774,0.9876582026481628,0.9421607255935669,0.04549747705459595,0.06867652205676611,30.265491900843113,177.3368666065026
37,test_z_240,240,emitted,5,0.6722173094749451,0.9845463037490845,0.9561628699302673,0.02838343381881714,0.04222359855771469,45.17742799230607,264.71149214241836
38,test_z_241,241,emitted,5,0.6776037514209747,0.9901118874549866,0.8401346802711487,0.1499772071838379,0.22133467660019135,27.018512172212592,158.31159475905815
39,test_z_242,242,emitted,5,0.6701545119285583,0.9659829139709473,0.8417423963546753,0.12424051761627197,0.18539085450418724,20.12461179749811,117.91764725096547
40,test_z_243,243,emitted,5,0.6245352923870087,0.8854888677597046,0.8457877039909363,0.03970116376876831,0.06356912772219525,34.88552708502482,204.40738526381728
41,test_z_244,244,emitted,5,0.647590845823288,0.9253357648849487,0.9227306246757507,0.002605140209197998,0.004022818151306726,14.422205101855956,84.50510801868725
42,test_z_245,245,emitted,5,0.6269622147083282,0.8970476984977722,0.7916289567947388,0.10541874170303345,0.168142097290625,104.89041900955492,614.5922988841108
43,test_z_246,246,emitted,5,0.6484950482845306,0.9297643303871155,0.8885538578033447,0.04121047258377075,0.06354786006891673,39.84971769034255,233.4944395918509
44,test_z_247,247,emitted,5,0.6353290379047394,0.9116848111152649,0.8627330660820007,0.04895174503326416,0.07704943755554258,66.21933252457322,388.0039015111712
45,test_z_248,248,emitted,5,0.6093901991844177,0.8687208890914917,0.8535884618759155,0.015132427215576172,0.02483208170369129,19.0,111.328125
46,test_z_249,249,emitted,5,0.5813993215560913,0.8648332953453064,0.8629174828529358,0.0019158124923706055,0.0032951749706948614,88.36288813749809,517.7512976806529
47,test_z_250,250,emitted,5,0.657673567533493,0.9497066736221313,0.9420313239097595,0.007675349712371826,0.011670454905397953,13.038404810405298,76.39690318596854
