part,layer_z,finite_xct5,in_fov,unique_pixels,in_fov_fraction,collision_fraction
part02,40,5562,5562,5469,1.0,0.016720604099244918
part02,41,5632,5632,5464,1.0,0.029829545454545414
part02,42,5521,5521,5431,1.0,0.01630139467487779
part02,43,5567,5567,5405,1.0,0.02910005388898873
part02,44,5448,5448,5370,1.0,0.014317180616740033
part02,45,5503,5503,5368,1.0,0.024532073414501143
part02,46,5410,5410,5319,1.0,0.01682070240295752
part02,47,5440,5440,5319,1.0,0.022242647058823506
part02,48,5372,5372,5296,1.0,0.014147431124348464
part02,49,5439,5439,5269,1.0,0.03125574554145982
part02,50,5340,5340,5246,1.0,0.017602996254681647
part02,51,3781,3781,3638,1.0,0.03782068235916425
part02,52,3684,3684,3598,1.0,0.023344191096634104
part02,53,3808,3808,3622,1.0,0.0488445378151261
part02,54,3678,3678,3585,1.0,0.02528548123980423
part02,55,3745,3745,3599,1.0,0.038985313751668915
part02,56,3640,3640,3568,1.0,0.01978021978021982
part02,57,3776,3776,3583,1.0,0.05111228813559321
part02,58,3678,3678,3569,1.0,0.02963567156063074
part02,59,3712,3712,3574,1.0,0.03717672413793105
part02,60,3605,3605,3535,1.0,0.01941747572815533
part02,61,3743,3743,3560,1.0,0.04889126369222552
part02,62,3647,3647,3552,1.0,0.02604880723882641
part02,63,3684,3684,3547,1.0,0.037187839305103165
part02,64,3646,3646,3525,1.0,0.033187054306088815
part02,65,3713,3713,3542,1.0,0.046054403447347125
part02,66,3606,3606,3516,1.0,0.024958402662229595
part02,67,3710,3710,3534,1.0,0.047439353099730464
part02,68,3604,3604,3508,1.0,0.02663706992230852
part02,69,3680,3680,3525,1.0,0.04211956521739135
part02,70,3643,3643,3501,1.0,0.03897886357397751
part02,71,3681,3681,3525,1.0,0.04237978810105947
part02,72,3606,3606,3489,1.0,0.032445923460898474
part02,73,3711,3711,3517,1.0,0.05227701428186471
part02,74,3572,3572,3496,1.0,0.021276595744680882
part02,75,3653,3653,3518,1.0,0.036955926635641956
part02,76,3610,3610,3495,1.0,0.03185595567867039
part02,77,3679,3679,3507,1.0,0.046751834737700504
part02,78,3607,3607,3485,1.0,0.03382312170779045
part02,79,3681,3681,3505,1.0,0.047813094267861955
part02,80,3570,3570,3472,1.0,0.027450980392156876
part02,81,3646,3646,3492,1.0,0.04223806911684036
part02,82,3568,3568,3494,1.0,0.020739910313901322
part02,83,3648,3648,3506,1.0,0.038925438596491224
part02,84,3569,3569,3486,1.0,0.023255813953488413
part02,85,3679,3679,3513,1.0,0.04512095678173411
part02,86,3610,3610,3498,1.0,0.031024930747922452
part02,87,3684,3684,3499,1.0,0.05021715526601522
part02,88,3575,3575,3478,1.0,0.02713286713286711
part02,89,3713,3713,3510,1.0,0.054672771343926785
part02,90,3607,3607,3498,1.0,0.030219018574993095
part02,91,3649,3649,3502,1.0,0.04028500959166892
part02,92,3569,3569,3499,1.0,0.019613337069207093
part02,93,3679,3679,3520,1.0,0.04321826583310684
part02,94,3607,3607,3520,1.0,0.024119767119489932
part02,95,3679,3679,3530,1.0,0.04050013590649637
part02,96,3608,3608,3521,1.0,0.02411308203991136
part02,97,3712,3712,3527,1.0,0.049838362068965525
part02,98,3651,3651,3537,1.0,0.03122432210353332
part02,99,3715,3715,3532,1.0,0.04925975773889635
part02,100,3650,3650,3528,1.0,0.033424657534246616
part02,101,3745,3745,3548,1.0,0.052603471295060045
part02,102,3647,3647,3520,1.0,0.034823142308746946
part02,103,3680,3680,3535,1.0,0.03940217391304346
part02,104,3647,3647,3532,1.0,0.03153276665752669
part02,105,3713,3713,3551,1.0,0.043630487476434165
part02,106,3647,3647,3546,1.0,0.027693995064436483
part02,107,3713,3713,3570,1.0,0.03851333153783998
part02,108,3645,3645,3550,1.0,0.026063100137174167
part02,109,3743,3743,3574,1.0,0.04515094843708256
part02,110,3651,3651,3577,1.0,0.020268419611065513
part02,111,3748,3748,3607,1.0,0.037620064034151524
part02,112,3650,3650,3576,1.0,0.020273972602739776
part02,113,3775,3775,3605,1.0,0.04503311258278142
part02,114,3685,3685,3611,1.0,0.02008141112618722
part02,115,3776,3776,3621,1.0,0.041048728813559365
part02,116,3685,3685,3614,1.0,0.019267299864314746
part02,117,3807,3807,3636,1.0,0.044917257683215084
part02,118,3723,3723,3643,1.0,0.021488047273704014
part02,119,3808,3808,3634,1.0,0.04569327731092432
part02,120,3723,3723,3645,1.0,0.020950846091861375
part02,121,3839,3839,3652,1.0,0.04871060171919772
part02,122,3765,3765,3672,1.0,0.024701195219123506
part02,123,3845,3845,3678,1.0,0.04343302990897269
part02,124,3766,3766,3674,1.0,0.02442910249601704
part02,125,3872,3872,3684,1.0,0.04855371900826444
part02,126,3798,3798,3701,1.0,0.02553975776724593
part02,127,3872,3872,3716,1.0,0.04028925619834711
part02,128,3799,3799,3703,1.0,0.025269807844169545
part02,129,3904,3904,3716,1.0,0.04815573770491799
part02,130,3798,3798,3730,1.0,0.017904160084254883
part02,131,3903,3903,3752,1.0,0.03868818857289269
part02,132,3837,3837,3737,1.0,0.026062027625749273
part02,133,3936,3936,3745,1.0,0.048526422764227695
part02,134,3842,3842,3772,1.0,0.018219677251431587
part02,135,3939,3939,3785,1.0,0.03909621731403912
part02,136,3879,3879,3784,1.0,0.024490848156741407
part02,137,3968,3968,3790,1.0,0.04485887096774188
part02,138,3875,3875,3797,1.0,0.020129032258064505
part02,139,3967,3967,3828,1.0,0.035039072346861655
part02,140,3874,3874,3813,1.0,0.015745998967475527
part02,141,3999,3999,3822,1.0,0.04426106526631657
part02,142,3912,3912,3838,1.0,0.01891615541922287
part02,143,3999,3999,3875,1.0,0.03100775193798455
part02,144,3911,3911,3843,1.0,0.017386857581181303
part02,145,4033,4033,3868,1.0,0.0409124721051326
part02,146,3993,3993,3876,1.0,0.029301277235161516
part02,147,4037,4037,3901,1.0,0.03368838246222439
part02,148,3993,3993,3897,1.0,0.02404207362885047
part02,149,4064,4064,3912,1.0,0.03740157480314965
part02,150,4065,4065,3931,1.0,0.03296432964329643
part02,151,4129,4129,3959,1.0,0.041172196657786375
part02,152,4064,4064,3946,1.0,0.02903543307086609
part02,153,4159,4159,3968,1.0,0.045924501081990865
part02,154,4102,4102,3989,1.0,0.027547537786445586
part02,155,4160,4160,4001,1.0,0.03822115384615388
part02,156,4102,4102,4011,1.0,0.022184300341296925
part02,157,4191,4191,4021,1.0,0.040563111429253174
part03,1,0,0,0,nan,nan
part03,2,0,0,0,nan,nan
part03,3,0,0,0,nan,nan
part03,4,0,0,0,nan,nan
part03,5,0,0,0,nan,nan
part03,6,0,0,0,nan,nan
part03,7,0,0,0,nan,nan
part03,8,0,0,0,nan,nan
part03,9,0,0,0,nan,nan
part03,10,0,0,0,nan,nan
part03,11,0,0,0,nan,nan
part03,12,0,0,0,nan,nan
part03,13,0,0,0,nan,nan
part03,14,0,0,0,nan,nan
