image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,predicted_x_px,predicted_y_px,predicted_in_sensor,assigned_in_v3,assigned_source_candidate_index,assigned_raw_x_px,assigned_raw_y_px,nearest_fresh_detector_candidate_distance_px,fresh_detector_candidate_within_v3_assignment_bound,local_mean_darkness_0_to_1
22,3,1482.0699211636945,1141.065287099262,True,False,,,,24.30201012379945,False,0.7719887955182072
23,3,1482.0352485714632,1157.2883581392348,True,False,,,,38.35787950041795,False,0.7733493397358944
24,3,1482.0005711391918,1173.5136938012215,True,False,,,,46.80590384953263,False,0.7755902360944378
25,3,1481.9658888658666,1189.7412945594415,True,False,,,,43.02521767871968,False,0.777110844337735
26,3,1481.9312017504742,1205.9711608882476,True,False,,,,45.14733015700063,False,0.776390556222489
27,3,1481.8965097919995,1222.2032932621246,True,False,,,,38.77254463225998,False,0.7769507803121248
28,3,1481.8618129894294,1238.43769215569,True,False,,,,24.567404696636647,False,0.7745498199279712
29,3,1481.8271113417488,1254.6743580436944,True,False,,,,15.195496871183815,False,0.7824729891956783
30,3,1481.7924048479422,1270.9132914010197,True,False,,,,19.635894071650334,False,0.779671868747499
31,3,1481.757693506995,1287.1544927026814,True,False,,,,26.908568776383884,False,0.7786314525810324
32,3,1481.7229773178917,1303.3979624238275,True,False,,,,18.645819609659235,False,0.7737494997999199
33,3,1481.6882562796163,1319.6437010397387,True,True,1461,1481.8163042515216,1320.6085969601977,2.696815970379566,True,0.7803921568627451
34,3,1481.6535303911526,1335.8917090258285,True,True,1598,1481.7342767577954,1336.6799276076492,2.5015737525251462,True,0.777671068427371
35,3,1481.6187996514843,1352.1419868576431,True,True,1481,1481.3434035112873,1353.3412209362696,3.284623484287102,True,0.7743097238895558
36,3,1481.584064059595,1368.394535010862,True,False,,,,13.487877042074059,False,0.7699879951980793
37,3,1481.5493236144675,1384.649353961297,True,False,,,,13.6493420683641,False,0.7761504601840736
38,3,1481.514578315085,1400.9064441848934,True,True,1511,1481.258264731182,1400.5370442927622,2.4348463817332284,True,0.7739095638255302
39,3,1481.4798281604296,1417.1658061577286,True,False,,,,14.754595158496892,False,0.7750300120048019
40,3,1481.4450731494837,1433.4274403560148,True,False,,,,14.755960229882998,False,0.7737494997999199
41,3,1481.410313281229,1449.691347256096,True,False,,,,14.510243053074706,False,0.7802320928371349
42,3,1481.3755485546476,1465.957527334449,True,True,1362,1480.6487242922065,1465.368911280963,3.0781722175023214,True,0.781672669067627
43,3,1481.3407789687205,1482.2259810676853,True,False,,,,18.375680451619427,False,0.7803921568627451
44,3,1481.3060045224288,1498.4967089325478,True,False,,,,30.534536313102702,False,0.7819127651060425
45,3,1481.2712252147535,1514.7697114059147,True,False,,,,26.282498548134544,False,0.7835134053621449
46,3,1481.236441044675,1531.0449889647957,True,False,,,,19.32311684234432,False,0.7819127651060425
47,3,1481.2016520111738,1547.3225420863355,True,False,,,,12.273118160105444,False,0.7813525410164066
48,3,1481.166858113229,1563.6023712478102,True,False,,,,13.421568041228728,False,0.7802320928371349
49,3,1481.1320593498212,1579.8844769266318,True,False,,,,13.18727051807136,False,0.7795918367346939
0,4,1468.7189879022878,783.9927092284547,True,False,,,,12.28101426183938,False,0.6941176470588235
1,4,1468.6833866811148,800.189425505015,True,True,1552,1468.3431645130302,799.5403247932747,2.7617702221881424,True,0.7123649459783914
2,4,1468.6477804907122,816.3884025244647,True,False,,,,13.855193211988556,False,0.7120448179271708
3,4,1468.612169330039,832.5896407601695,True,True,1149,1468.7950094565883,834.4156598516117,3.4323407134577892,True,0.7254901960784313
4,4,1468.5765531980546,848.7931406856272,True,False,,,,12.800146709953314,False,0.7270908363345339
5,4,1468.5409320937179,864.9989027744682,True,False,,,,19.006641973707254,False,0.7312525010004002
6,4,1468.5053060159876,881.2069275004552,True,True,1522,1468.573175686699,882.4617428687787,2.8365429884864217,True,0.7343737494997999
7,4,1468.4696749638222,897.417215337483,True,False,,,,13.427691985459933,False,0.7310124049619848
8,4,1468.4340389361791,913.6297667595783,True,True,1248,1469.2535811102618,913.884168912624,2.5925332849083738,True,0.7417366946778712
9,4,1468.398397932017,929.8445822409009,True,True,1453,1469.0816547731372,930.0965961050179,2.606240203814166,True,0.7418967587034814
10,4,1468.362751950293,946.061662255743,True,False,,,,15.910919372160508,False,0.7442176870748299
11,4,1468.3271009899638,962.2810072785289,True,False,,,,15.136871282437326,False,0.7438975590236094
12,4,1468.2914450499873,978.5026177838155,True,False,,,,15.364584121222597,False,0.7516606642657063
