left,right,axis,sign_left_to_right,distance_px,axis_alignment_cosine
52,351,1,-1,15.372810442482077,0.9999911057976303
52,1103,0,-1,17.671635060454403,0.9987615525188696
53,484,1,-1,15.008617297040148,0.9989052198571939
53,523,1,1,15.4577105589352,0.9999045015119326
53,197,0,-1,16.221072586203444,0.9983433154447808
53,451,0,1,16.84758855045661,0.9999738506086667
54,118,1,1,13.54356111519077,0.9996100278383606
54,373,0,1,16.391222228462485,0.9999993964105345
54,173,0,-1,16.86197107849312,0.9974958468841519
55,466,1,-1,14.60544879537025,0.9997567379450607
55,369,1,1,15.75326682540573,0.9995329804272123
55,399,0,-1,16.727333056241697,0.9996903500834398
55,806,0,1,17.604121774273782,0.9999840062075226
56,196,1,1,14.613949713586786,0.9998314141003453
56,133,1,-1,14.807771894430077,0.9979456517740404
56,233,0,-1,15.087938449534272,0.9999941695990325
56,632,0,1,16.86761738463071,0.9994132196587506
57,984,1,1,14.70940605346468,0.9974777947627657
57,407,1,-1,16.40651498734506,0.9997621534829586
57,213,0,-1,17.24408066561398,0.9987418692359846
57,1097,0,1,18.037597255597078,0.9985155339331577
58,882,1,-1,14.498197202629095,0.9998321072358943
58,957,1,1,15.117367819807109,0.9954271698652563
58,337,0,-1,16.470399142715376,0.999999618463149
58,1092,0,1,16.672037198247697,0.9999990448362911
59,789,1,1,14.465079233529734,0.9961708436351773
59,1157,0,-1,15.540838106740978,0.9980232617597695
59,872,1,-1,16.170054880035753,0.9922856158956574
59,212,0,1,18.857176079488912,0.9999958598266954
60,109,1,1,15.207362623059629,0.9983639814323196
60,173,1,-1,15.820647292141068,0.9987354236464968
60,118,0,1,17.27009118149789,0.9980795590661299
61,311,0,-1,15.141184612178105,0.9999926983643318
61,651,1,-1,15.486695281310253,0.9849936616881828
61,305,1,1,16.389692214934854,0.9983483117718669
61,697,0,1,18.80397345453533,0.9999276556426682
62,108,0,-1,17.930468392581844,0.9996935881931565
63,192,0,1,15.039805412552226,0.9998717471595235
63,248,1,1,15.669815309932366,0.999998342160636
63,195,1,-1,15.799942118277368,0.9930101983918572
63,203,0,-1,18.937780441113407,0.9997421030650764
64,697,1,1,14.881261314038424,0.9966364128674486
64,651,0,-1,14.924361443159993,0.999053244273562
64,460,1,-1,15.654844654345323,0.9997170371553104
64,191,0,1,16.52257206521944,0.9997039198452843
65,683,1,-1,16.66701244467789,0.9926581330756995
