rank_by_response,feature_type,raw_x_px,raw_y_px,response
144,roi_restricted_checkerboard_corner_candidate,1166.0,1607.0,4.010611155536026e-05
145,roi_restricted_checkerboard_corner_candidate,1210.0,1279.0,4.010108386864886e-05
146,roi_restricted_checkerboard_corner_candidate,907.0,1710.0,4.0083999920170754e-05
147,roi_restricted_checkerboard_corner_candidate,973.0,1589.0,4.007860115962103e-05
148,roi_restricted_checkerboard_corner_candidate,1039.0,1356.0,4.00440112571232e-05
149,roi_restricted_checkerboard_corner_candidate,1082.0,1278.0,4.0004029870033264e-05
150,roi_restricted_checkerboard_corner_candidate,1104.0,1254.0,3.998094325652346e-05
151,roi_restricted_checkerboard_corner_candidate,1016.0,1682.0,3.9953403756953776e-05
152,roi_restricted_checkerboard_corner_candidate,1038.0,1611.0,3.994403232354671e-05
153,roi_restricted_checkerboard_corner_candidate,1102.0,1633.0,3.9937895053299144e-05
154,roi_restricted_checkerboard_corner_candidate,1168.0,1278.0,3.9912600186653435e-05
155,roi_restricted_checkerboard_corner_candidate,1166.0,1654.0,3.973423736169934e-05
156,roi_restricted_checkerboard_corner_candidate,930.0,1332.0,3.967138400184922e-05
157,roi_restricted_checkerboard_corner_candidate,907.0,1662.0,3.965511859860271e-05
158,roi_restricted_checkerboard_corner_candidate,1188.0,1349.0,3.962686605518684e-05
159,roi_restricted_checkerboard_corner_candidate,840.0,1640.0,3.960608592024073e-05
160,roi_restricted_checkerboard_corner_candidate,1016.0,1588.0,3.9458234823541716e-05
161,roi_restricted_checkerboard_corner_candidate,1123.0,1749.0,3.9441474655177444e-05
162,roi_restricted_checkerboard_corner_candidate,885.0,1591.0,3.9423386624548584e-05
163,roi_restricted_checkerboard_corner_candidate,886.0,1253.0,3.932599429390393e-05
164,roi_restricted_checkerboard_corner_candidate,1146.0,1332.0,3.929690501536243e-05
165,roi_restricted_checkerboard_corner_candidate,1123.0,1656.0,3.929502418031916e-05
166,roi_restricted_checkerboard_corner_candidate,1394.0,1394.0,3.9215225115185603e-05
167,roi_restricted_checkerboard_corner_candidate,1104.0,1285.0,3.9176797145046294e-05
168,roi_restricted_checkerboard_corner_candidate,840.0,1688.0,3.913793989340775e-05
169,roi_restricted_checkerboard_corner_candidate,1038.0,1705.0,3.90698914998211e-05
170,roi_restricted_checkerboard_corner_candidate,863.0,1615.0,3.900235969922505e-05
171,roi_restricted_checkerboard_corner_candidate,929.0,1638.0,3.897389251505956e-05
172,roi_restricted_checkerboard_corner_candidate,863.0,1663.0,3.894991459674202e-05
173,roi_restricted_checkerboard_corner_candidate,818.0,1520.0,3.892311724484898e-05
174,roi_restricted_checkerboard_corner_candidate,1292.0,1325.0,3.8871061406098306e-05
175,roi_restricted_checkerboard_corner_candidate,818.0,1568.0,3.8815360312582925e-05
176,roi_restricted_checkerboard_corner_candidate,1209.0,1372.0,3.8772264815634117e-05
177,roi_restricted_checkerboard_corner_candidate,1271.0,1442.0,3.865197504637763e-05
178,roi_restricted_checkerboard_corner_candidate,1272.0,1349.0,3.861508594127372e-05
179,roi_restricted_checkerboard_corner_candidate,945.0,1452.0,3.85741404897999e-05
180,roi_restricted_checkerboard_corner_candidate,1332.0,1464.0,3.8569858588743955e-05
