candidate_rank,dx_px,dy_px,median_abs_spearman,comparison_count
1,0,6,0.15247046905770187,96
1,0,8,0.13711598940595493,96
1,0,10,0.1360028950030321,96
1,0,12,0.13019512774032577,96
1,2,-12,0.1572877495039994,96
1,2,-10,0.14719040798531208,96
1,2,-8,0.16944621941058213,96
1,2,-6,0.16553105702569726,96
1,2,-4,0.16440393604763587,96
1,2,-2,0.1327902110440183,96
1,2,0,0.13756517806172536,96
1,2,2,0.1336820442095435,96
1,2,4,0.13751140278095025,96
1,2,6,0.14677906963642673,96
1,2,8,0.13962273010550727,96
1,2,10,0.12849130321707805,96
1,2,12,0.1286554348812943,96
1,4,-12,0.15259038815475123,96
1,4,-10,0.15025346350942093,96
1,4,-8,0.15321179847075903,96
1,4,-6,0.1504777770853904,96
1,4,-4,0.15171686242105392,96
1,4,-2,0.15626646074429784,96
1,4,0,0.1312070846412573,96
1,4,2,0.13508752250875827,96
1,4,4,0.13282694720717836,96
1,4,6,0.14227132340285942,96
1,4,8,0.13487735864315167,96
1,4,10,0.12115067071422805,96
1,4,12,0.13117952049999945,96
1,6,-12,0.15052399534087613,96
1,6,-10,0.14506653797440897,96
1,6,-8,0.15363695820507223,96
1,6,-6,0.1664585008377166,96
1,6,-4,0.1518355895722106,96
1,6,-2,0.14147463105649233,96
1,6,0,0.13914262770451558,96
1,6,2,0.13684906101968297,96
1,6,4,0.14746996127991557,96
1,6,6,0.1476636253007061,96
1,6,8,0.135755852587782,96
1,6,10,0.12520101549685375,96
1,6,12,0.12521850590135128,96
1,8,-12,0.14731192159289197,96
1,8,-10,0.14032833331159442,96
1,8,-8,0.14437645529316642,96
1,8,-6,0.15400362965014475,96
1,8,-4,0.156312266153109,96
1,8,-2,0.1472499209167175,96
1,8,0,0.13279036622922177,96
1,8,2,0.13651178356024846,96
1,8,4,0.13630501513560256,96
1,8,6,0.1391680432614475,96
1,8,8,0.13497800571170623,96
1,8,10,0.12201215054242691,96
1,8,12,0.12379925960493843,96
1,10,-12,0.15422164493707394,96
1,10,-10,0.13677916757695213,96
1,10,-8,0.15359979964596115,96
1,10,-6,0.13956606465147878,96
1,10,-4,0.12942814160845212,96
1,10,-2,0.13091437799330932,96
1,10,0,0.12098752336314383,96
1,10,2,0.1407358752974419,96
1,10,4,0.15862788989925172,96
1,10,6,0.16309073852103642,96
1,10,8,0.13785049161321328,96
1,10,10,0.13171227129722524,96
1,10,12,0.12145665015317636,96
1,12,-12,0.13610682450637718,96
1,12,-10,0.1390847668824171,96
1,12,-8,0.15548217380473286,96
1,12,-6,0.1299629680957109,96
1,12,-4,0.1395809118045009,96
1,12,-2,0.12209868847011812,96
1,12,0,0.11372452120086335,96
1,12,2,0.13548259450841324,96
1,12,4,0.14781528539966882,96
1,12,6,0.1467522900306497,96
1,12,8,0.127284037113459,96
1,12,10,0.13117159805522866,96
1,12,12,0.13092351603631394,96
2,-12,-12,0.21255502725222983,96
2,-12,-10,0.20428725541668913,96
2,-12,-8,0.26759638881085906,96
2,-12,-6,0.2573009282047962,96
2,-12,-4,0.2864217630486685,96
2,-12,-2,0.21615061331051671,96
2,-12,0,0.16419043864696675,96
2,-12,2,0.16622835884129833,96
2,-12,4,0.17193297527719303,96
2,-12,6,0.172806910331505,96
2,-12,8,0.18162947236463606,96
2,-12,10,0.16516936397043158,96
2,-12,12,0.17480208508658024,96
2,-10,-12,0.2076367064188802,96
2,-10,-10,0.23348143483121636,96
2,-10,-8,0.29135308175299973,96
2,-10,-6,0.2990147273281043,96
2,-10,-4,0.2932580777692183,96
2,-10,-2,0.22443776748324354,96
2,-10,0,0.15671404834815494,96
2,-10,2,0.1915643703673839,96
2,-10,4,0.1809472856630371,96
2,-10,6,0.17527922661796752,96
2,-10,8,0.1799593033272392,96
2,-10,10,0.18274913108402757,96
2,-10,12,0.1845000224738847,96
2,-8,-12,0.22177935523061126,96
2,-8,-10,0.2273070206242635,96
2,-8,-8,0.28765773888781554,96
2,-8,-6,0.3580551804109987,96
2,-8,-4,0.3383532624615996,96
2,-8,-2,0.24886252502550393,96
2,-8,0,0.18038705694121243,96
2,-8,2,0.19036409975530816,96
2,-8,4,0.20096790147207366,96
2,-8,6,0.19829907512531952,96
2,-8,8,0.18481263200908588,96
2,-8,10,0.1861954772345315,96
2,-8,12,0.18273370620568485,96
2,-6,-12,0.22896195238736494,96
2,-6,-10,0.2874825912644906,96
2,-6,-8,0.3826804943970207,96
2,-6,-6,0.4243707422691102,96
2,-6,-4,0.4156016604878997,96
2,-6,-2,0.2912849909367837,96
2,-6,0,0.21122913669217472,96
2,-6,2,0.20067662519589224,96
2,-6,4,0.20430080597626907,96
2,-6,6,0.2113393533143276,96
2,-6,8,0.20205744134986886,96
2,-6,10,0.20193463736478107,96
2,-6,12,0.18930581323534051,96
