sample_id,layer_z,rank,score,x_model_pixel,y_model_pixel,raw_camera_x_px,raw_camera_y_px,expected_raw_camera_x_px,expected_raw_camera_y_px,model_grid_roundtrip_x,model_grid_roundtrip_y,model_grid_roundtrip_error_px,raw_center_mapping_error_px,grid_in_bounds,raw_in_working_roi,raw_in_sensor_fov,model_edge_margin_px,model_edge_safe,score_finite,score_in_unit_interval,inverse_homography_denominator,machine_x,machine_y,containing_machine_part,inverse_transform_solvable,reprojected_raw_camera_x_px,reprojected_raw_camera_y_px,raw_camera_roundtrip_error_px,score_semantics
test_z_210,210,1,0.7639966011047363,33,118,446.2890625,944.3359375,446.2890625,944.3359375,33.0,118.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0346607902706815,60.30893432233689,-12.510476240015395,,True,446.2890625000001,944.3359375000001,1.6077746776921858e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,2,0.7612223029136658,5,78,282.2265625,709.9609375,282.2265625,709.9609375,5.0,78.0,0.0,0.0,True,True,True,5.0,True,True,True,1.0522049905922866,70.85805038957662,-25.478485626124062,,True,282.22656250000006,709.9609375,5.684341886080802e-14,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,3,0.7604824304580688,36,125,463.8671875,985.3515625,463.8671875,985.3515625,36.0,125.0,0.0,0.0,True,True,True,36.0,True,True,True,1.031861598260699,59.18817559815832,-10.176451987400226,,True,463.86718750000017,985.3515625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,4,0.7595728039741516,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_210,210,5,0.7595152258872986,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,1,0.7633908987045288,33,117,446.2890625,938.4765625,446.2890625,938.4765625,33.0,117.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0349995373142957,60.29725879154175,-12.847368169118994,,True,446.28906250000006,938.4765625000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,2,0.7621006965637207,36,125,463.8671875,985.3515625,463.8671875,985.3515625,36.0,125.0,0.0,0.0,True,True,True,36.0,True,True,True,1.031861598260699,59.18817559815832,-10.176451987400226,,True,463.86718750000017,985.3515625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,3,0.7615721821784973,5,78,282.2265625,709.9609375,282.2265625,709.9609375,5.0,78.0,0.0,0.0,True,True,True,5.0,True,True,True,1.0522049905922866,70.85805038957662,-25.478485626124062,,True,282.22656250000006,709.9609375,5.684341886080802e-14,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,4,0.7593120336532593,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_211,211,5,0.7588318586349487,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,1,0.7636142373085022,33,117,446.2890625,938.4765625,446.2890625,938.4765625,33.0,117.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0349995373142957,60.29725879154175,-12.847368169118994,,True,446.28906250000006,938.4765625000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,2,0.7620679140090942,6,77,288.0859375,704.1015625,288.0859375,704.1015625,6.0,77.0,0.0,0.0,True,True,True,6.0,True,True,True,1.0524010834010071,70.45151482826326,-25.817650078576634,,True,288.08593750000017,704.1015625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,3,0.761501669883728,36,125,463.8671875,985.3515625,463.8671875,985.3515625,36.0,125.0,0.0,0.0,True,True,True,36.0,True,True,True,1.031861598260699,59.18817559815832,-10.176451987400226,,True,463.86718750000017,985.3515625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,4,0.7593134641647339,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_212,212,5,0.7592439651489258,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,1,0.7627213001251221,6,77,288.0859375,704.1015625,288.0859375,704.1015625,6.0,77.0,0.0,0.0,True,True,True,6.0,True,True,True,1.0524010834010071,70.45151482826326,-25.817650078576634,,True,288.08593750000017,704.1015625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,2,0.7597737312316895,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,3,0.7597415447235107,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,4,0.7587320804595947,33,118,446.2890625,944.3359375,446.2890625,944.3359375,33.0,118.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0346607902706815,60.30893432233689,-12.510476240015395,,True,446.2890625000001,944.3359375000001,1.6077746776921858e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_213,213,5,0.7580842971801758,11,79,317.3828125,715.8203125,317.3828125,715.8203125,11.0,79.0,0.0,0.0,True,True,True,11.0,True,True,True,1.0510103181393091,68.519893291943,-25.22310412944738,,True,317.38281250000034,715.8203125,3.410605131648481e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_214,214,1,0.763962984085083,33,116,446.2890625,932.6171875,446.2890625,932.6171875,33.0,116.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0353382843579102,60.28559090086115,-13.18403964632445,,True,446.28906250000006,932.6171875000002,2.3437142008433856e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_214,214,2,0.7611267566680908,5,78,282.2265625,709.9609375,282.2265625,709.9609375,5.0,78.0,0.0,0.0,True,True,True,5.0,True,True,True,1.0522049905922866,70.85805038957662,-25.478485626124062,,True,282.22656250000006,709.9609375,5.684341886080802e-14,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_214,214,3,0.7590813636779785,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_214,214,4,0.7589219808578491,11,79,317.3828125,715.8203125,317.3828125,715.8203125,11.0,79.0,0.0,0.0,True,True,True,11.0,True,True,True,1.0510103181393091,68.519893291943,-25.22310412944738,,True,317.38281250000034,715.8203125,3.410605131648481e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_214,214,5,0.7582506537437439,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_215,215,1,0.7634072303771973,33,117,446.2890625,938.4765625,446.2890625,938.4765625,33.0,117.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0349995373142957,60.29725879154175,-12.847368169118994,,True,446.28906250000006,938.4765625000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_215,215,2,0.7624974250793457,6,77,288.0859375,704.1015625,288.0859375,704.1015625,6.0,77.0,0.0,0.0,True,True,True,6.0,True,True,True,1.0524010834010071,70.45151482826326,-25.817650078576634,,True,288.08593750000017,704.1015625,1.7053025658242404e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_215,215,3,0.759210467338562,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_215,215,4,0.7586958408355713,36,123,463.8671875,973.6328125,463.8671875,973.6328125,36.0,123.0,0.0,0.0,True,True,True,36.0,True,True,True,1.0325390923479276,59.16550427200091,-10.853372865558477,,True,463.8671875,973.6328125,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_215,215,5,0.7582191824913025,4,59,276.3671875,598.6328125,276.3671875,598.6328125,4.0,59.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0587838386558548,70.96636848431154,-31.64486732042438,,True,276.36718750000006,598.6328125000001,1.2710574864626038e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_216,216,1,0.7619119882583618,33,116,446.2890625,932.6171875,446.2890625,932.6171875,33.0,116.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0353382843579102,60.28559090086115,-13.18403964632445,,True,446.28906250000006,932.6171875000002,2.3437142008433856e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_216,216,2,0.7617063522338867,6,78,288.0859375,709.9609375,288.0859375,709.9609375,6.0,78.0,0.0,0.0,True,True,True,6.0,True,True,True,1.0520623363573929,70.46626674703796,-25.490506702127927,,True,288.0859375000001,709.9609375000001,1.6077746776921858e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_216,216,3,0.759810745716095,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_216,216,4,0.7592952847480774,4,60,276.3671875,604.4921875,276.3671875,604.4921875,4.0,60.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0584450916122403,70.9811962192693,-31.321561676089026,,True,276.36718750000017,604.4921875000001,2.0495186137532011e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_216,216,5,0.7591819763183594,11,79,317.3828125,715.8203125,317.3828125,715.8203125,11.0,79.0,0.0,0.0,True,True,True,11.0,True,True,True,1.0510103181393091,68.519893291943,-25.22310412944738,,True,317.38281250000034,715.8203125,3.410605131648481e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_217,217,1,0.7616204619407654,33,116,446.2890625,932.6171875,446.2890625,932.6171875,33.0,116.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0353382843579102,60.28559090086115,-13.18403964632445,,True,446.28906250000006,932.6171875000002,2.3437142008433856e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_217,217,2,0.7605719566345215,22,136,381.8359375,1049.8046875,381.8359375,1049.8046875,22.0,136.0,0.0,0.0,True,True,True,22.0,True,True,True,1.030132540069454,64.93752088802627,-6.302478372714337,,True,381.8359375000001,1049.8046875000002,2.5421149729252077e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_217,217,3,0.7603687047958374,4,81,276.3671875,727.5390625,276.3671875,727.5390625,4.0,81.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0513314036963373,71.29478590918127,-24.484015884852777,,True,276.3671875,727.5390625000001,1.1368683772161603e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_217,217,4,0.7596895694732666,4,60,276.3671875,604.4921875,276.3671875,604.4921875,4.0,60.0,0.0,0.0,True,True,True,4.0,True,True,True,1.0584450916122403,70.9811962192693,-31.321561676089026,,True,276.36718750000017,604.4921875000001,2.0495186137532011e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_217,217,5,0.7591647505760193,11,79,317.3828125,715.8203125,317.3828125,715.8203125,11.0,79.0,0.0,0.0,True,True,True,11.0,True,True,True,1.0510103181393091,68.519893291943,-25.22310412944738,,True,317.38281250000034,715.8203125,3.410605131648481e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_218,218,1,0.7628487944602966,34,120,452.1484375,956.0546875,452.1484375,956.0546875,34.0,120.0,0.0,0.0,True,True,True,34.0,True,True,True,1.0338406419485586,59.9321670173475,-11.846380659142158,,True,452.1484375,956.0546875,0.0,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
test_z_218,218,2,0.762323260307312,33,116,446.2890625,932.6171875,446.2890625,932.6171875,33.0,116.0,0.0,0.0,True,True,True,33.0,True,True,True,1.0353382843579102,60.28559090086115,-13.18403964632445,,True,446.28906250000006,932.6171875000002,2.3437142008433856e-13,sigmoid-scaled XCT-derived continuous quality candidate; direction unresolved
