source_candidate_index,image_lattice_col_index_0_to_49,image_lattice_row_index_0_to_49,raw_x_px,raw_y_px,detector_response,projective_cell_residual_px,correspondence_source,full_refined_fit_inlier,full_refined_fit_residual_px,heldout_block,train_only_prediction_x_px,train_only_prediction_y_px,train_only_residual_px
733,31,24,1175.8763260228966,1288.4315906156353,0.16609293222427368,1.4979597591980442,projective_2d_nearest_cell_reassignment,True,1.4979597591980442,False,1175.8406787026315,1286.9191636074877,1.5128470466033148
1329,32,24,1175.744070938102,1305.2818703264027,0.1528153419494629,1.595934132189881,projective_2d_nearest_cell_reassignment,True,1.595934132189881,False,1175.7827417441824,1303.6708657718707,1.6114686177414934
741,33,24,1175.880918434106,1319.6402170927881,0.1658470630645752,0.8149595434081153,projective_2d_nearest_cell_reassignment,True,0.8149595434081153,False,1175.7247968063596,1320.4248750662834,0.8000388103210762
1334,34,24,1175.7864640814814,1337.2079816127552,0.15269240736961365,0.11041547075102368,projective_2d_nearest_cell_reassignment,True,0.11041547075102368,False,1175.666843887514,1337.181191967383,0.12258334268558956
1123,35,24,1176.2481326397606,1354.0612920121962,0.15785591304302216,0.6377911429928583,projective_2d_nearest_cell_reassignment,True,0.6377911429928583,True,1175.6088829859968,1353.9398169519584,0.6506891040249728
1286,36,24,1174.6457886940123,1370.865575039488,0.1537988781929016,0.9260543875230441,projective_2d_nearest_cell_reassignment,True,0.9260543875230441,True,1175.5509141001587,1370.7007504969295,0.920010397050719
352,37,24,1175.7650439255253,1387.3291109325335,0.17519055306911469,0.3060574406031229,projective_2d_nearest_cell_reassignment,True,0.3060574406031229,True,1175.4929372283498,1387.4639930793478,0.30370256531191003
769,38,24,1174.7493981996652,1405.1467818522608,0.16535529494285583,1.1316011830620132,projective_2d_nearest_cell_reassignment,True,1.1316011830620132,True,1175.4349523689193,1404.229545176396,1.145123416288973
1154,39,24,1175.1953870323134,1420.6260919060633,0.15724121034145355,0.44147411791888186,projective_2d_nearest_cell_reassignment,True,0.44147411791888186,True,1175.3769595202168,1420.997407265389,0.41333238977201997
967,40,24,1175.6913150189093,1437.4595934443896,0.1612982600927353,0.49431706009169396,projective_2d_nearest_cell_reassignment,True,0.49431706009169396,False,1175.3189586805906,1437.7675798237728,0.48322339820387666
