part,layer_z,csv_path,rows_total,rows_schema_40,rows_bad_schema,command_x_min_mm,command_x_max_mm,command_y_min_mm,command_y_max_mm,xct_original_finite_count,xct_3x3x3_finite_count,xct_5x5x5_finite_count,xct_original_finite_fraction,xct_3x3x3_finite_fraction,xct_5x5x5_finite_fraction,xct_5x5x5_mean,xct_5x5x5_min,xct_5x5x5_max
part01,51,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0051.csv,3781,3781,0,-6.0,3.0,11.0,16.0,3781,3781,3781,1.0,1.0,1.0,0.5465558741073789,0.36112,0.63036
part01,52,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0052.csv,3684,3684,0,-6.0,3.0,11.0,16.0,3684,3684,3684,1.0,1.0,1.0,0.5469991232356134,0.35559,0.62724
part01,53,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0053.csv,3808,3808,0,-6.0,3.0,11.0,16.0,3808,3808,3808,1.0,1.0,1.0,0.5459505094537815,0.34771,0.62363
part01,54,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0054.csv,3678,3678,0,-6.0,3.0,11.0,16.0,3678,3678,3678,1.0,1.0,1.0,0.5466894671016858,0.34059,0.62224
part01,55,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0055.csv,3745,3745,0,-6.0,3.0,11.0,16.0,3745,3745,3745,1.0,1.0,1.0,0.5462873324432577,0.33793,0.62591
part01,56,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0056.csv,3640,3640,0,-6.0,3.0,11.0,16.0,3640,3640,3640,1.0,1.0,1.0,0.5462491126373626,0.33967,0.62648
part01,57,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0057.csv,3776,3776,0,-6.0,3.0,11.0,16.0,3776,3776,3776,1.0,1.0,1.0,0.5453720127118644,0.34418,0.6245
part01,58,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0058.csv,3678,3678,0,-6.0,3.0,11.0,16.0,3678,3678,3678,1.0,1.0,1.0,0.5456905791190865,0.34908,0.61791
part01,59,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0059.csv,3712,3712,0,-6.0,3.0,11.0,16.0,3712,3712,3712,1.0,1.0,1.0,0.5452657731681034,0.35272,0.62764
part01,60,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0060.csv,3605,3605,0,-6.0,3.0,11.0,16.0,3605,3605,3605,1.0,1.0,1.0,0.5449702884882108,0.3571,0.63028
part01,61,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0061.csv,3743,3743,0,-6.0,3.0,11.0,16.0,3743,3743,3743,1.0,1.0,1.0,0.5441092946834091,0.3605,0.62822
part01,62,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0062.csv,3647,3647,0,-6.0,3.0,11.0,16.0,3647,3647,3647,1.0,1.0,1.0,0.5443621277762545,0.36076,0.6206
part01,63,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0063.csv,3684,3684,0,-6.0,3.0,11.0,16.0,3684,3684,3684,1.0,1.0,1.0,0.544125016286645,0.35974,0.62529
part01,64,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0064.csv,3646,3646,0,-6.0,3.0,11.0,16.0,3646,3646,3646,1.0,1.0,1.0,0.5439027783872737,0.35712,0.63036
part01,65,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0065.csv,3713,3713,0,-6.0,3.0,11.0,16.0,3713,3713,3713,1.0,1.0,1.0,0.5434379046593052,0.35131,0.62855
part01,66,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0066.csv,3606,3606,0,-6.0,3.0,11.0,16.0,3606,3606,3606,1.0,1.0,1.0,0.5433324376039933,0.34534,0.62385
part01,67,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0067.csv,3710,3710,0,-6.0,3.0,11.0,16.0,3710,3710,3710,1.0,1.0,1.0,0.543295641509434,0.34124,0.62449
part01,68,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0068.csv,3604,3604,0,-6.0,3.0,11.0,16.0,3604,3604,3604,1.0,1.0,1.0,0.5430418091009989,0.33902,0.62851
part01,69,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0069.csv,3680,3680,0,-6.0,3.0,11.0,16.0,3680,3680,3680,1.0,1.0,1.0,0.5425985,0.33856,0.63017
part01,70,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0070.csv,3643,3643,0,-6.0,3.0,11.0,16.0,3643,3643,3643,1.0,1.0,1.0,0.5424975075487236,0.34006,0.62901
part01,71,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0071.csv,3681,3681,0,-6.0,3.0,11.0,16.0,3681,3681,3681,1.0,1.0,1.0,0.5423587829394186,0.34309,0.62967
part01,72,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0072.csv,3606,3606,0,-6.0,3.0,11.0,16.0,3606,3606,3606,1.0,1.0,1.0,0.5419721408763173,0.34612,0.63157
part01,73,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0073.csv,3711,3711,0,-6.0,3.0,11.0,16.0,3711,3711,3711,1.0,1.0,1.0,0.5415472002155752,0.35009,0.63237
part01,74,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0074.csv,3572,3572,0,-6.0,3.0,11.0,16.0,3572,3572,3572,1.0,1.0,1.0,0.5414374104143337,0.35548,0.62725
part01,75,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0075.csv,3653,3653,0,-6.0,3.0,11.0,16.0,3653,3653,3653,1.0,1.0,1.0,0.5416744839857651,0.3588,0.62843
part01,76,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0076.csv,3610,3610,0,-6.0,3.0,11.0,16.0,3610,3610,3610,1.0,1.0,1.0,0.541091324099723,0.35982,0.62929
part01,77,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0077.csv,3679,3679,0,-6.0,3.0,11.0,16.0,3679,3679,3679,1.0,1.0,1.0,0.5414310111443327,0.3582,0.62894
part01,78,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0078.csv,3607,3607,0,-6.0,3.0,11.0,16.0,3607,3607,3607,1.0,1.0,1.0,0.5412559689492653,0.35359,0.62473
part01,79,/Users/kimsangmin/ammt_project/raw_original/registered_xct/part01/L0079.csv,3681,3681,0,-6.0,3.0,11.0,16.0,3681,3681,3681,1.0,1.0,1.0,0.5414636674816625,0.3483,0.62472
